Date,Close/Last,Volume,Open,High,Low
2026-01-29,192.51,171764400.0,191.34,193.48,186.06
2026-01-30,191.13,179489500.0,191.21,194.49,189.47
2026-02-02,185.61,165794100.0,187.2,190.3,184.88
2026-02-03,180.34,204019600.0,186.24,186.27,176.23
2026-02-04,174.19,207014100.0,179.46,179.58,171.91
2026-02-05,171.88,206312900.0,174.925,176.815,171.03
2026-02-06,185.41,231346200.0,176.69,187.0,174.6
2026-02-09,190.04,196387400.0,184.26,193.66,183.95
2026-02-10,188.54,136764800.0,191.38,192.48,188.12
2026-02-11,190.05,144192700.0,192.45,193.26,188.77
2026-02-12,186.94,189932500.0,193.03,193.61,186.51
2026-02-13,182.81,161888000.0,187.475,187.5,181.59
2026-02-17,184.97,162276900.0,181.75,187.15,179.18
2026-02-18,187.98,164749100.0,188.75,190.37,186.76
2026-02-19,187.9,126554500.0,187.06,188.43,185.66
2026-02-20,189.82,178143900.0,186.57,190.33,185.94
2026-02-23,191.55,171584800.0,191.4,193.95,189.58
2026-02-24,192.85,175123600.0,191.49,193.77,187.4
2026-02-25,195.56,250637100.0,194.45,197.63,193.79
2026-02-26,184.89,360807900.0,194.27,194.29,184.32
2026-02-27,177.19,310523200.0,181.25,182.59,176.38
2026-03-02,182.48,209095300.0,175.01,183.46,174.64
2026-03-03,180.05,178099400.0,178.49,180.9,176.92
2026-03-04,183.04,177731200.0,180.44,184.7,180.06
2026-03-05,183.34,198779700.0,181.17,184.06,177.88
2026-03-06,177.82,188472400.0,179.84,182.76,176.82
2026-03-09,182.65,177213600.0,176.83,182.91,175.56
2026-03-10,184.77,179118500.0,182.4,186.44,182.01
2026-03-11,186.03,145280400.0,185.91,187.62,184.45
2026-03-12,183.14,155354700.0,184.05,184.94,181.75
2026-03-13,180.25,160513800.0,184.92,186.09,179.94
2026-03-16,183.22,217307400.0,182.97,188.88,181.41
2026-03-17,181.93,182497800.0,185.06,185.4,181.68
2026-03-18,180.61,134102114.0,182.49,183.38,180.5
